,last name,first name,position,team,year,average salary,name
389,Matthews,Wesley,SG,POR,2012,6505320,wesleymatthews
390,Hickson,J.J,PF,POR,2012,4000000,jjhickson
391,Lillard,Damian,PG,POR,2012,3461292,damianlillard
392,Freeland,Joel,PF,POR,2012,2975000,joelfreeland
393,Leonard,Meyers,C,POR,2012,2435620,meyersleonard
394,Babbitt,Luke,SF,POR,2012,1768840,lukebabbitt
395,Maynor,Eric,PG,POR,2012,1648030,ericmaynor
396,Jeffries,Jared,PF,POR,2012,1541486,jaredjeffries
397,Pavlovic,Sasha,SG,POR,2012,1360237,sashapavlovic
398,Williams,Elliot,SG,POR,2012,1348800,elliotwilliams
399,Smith,Nolan,PG,POR,2012,1336320,nolansmith
400,Claver,Victor,SF,POR,2012,1333333,victorclaver
401,Barton,Will,SG,POR,2012,751372,willbarton
402,Salmons,John,SF,SAC,2012,7833200,johnsalmons
403,Thornton,Marcus,SG,SAC,2012,7787500,marcusthornton
404,Thompson,Jason,PF,SAC,2012,6037500,jasonthompson
405,Hayes,Chuck,PF,SAC,2012,5604375,chuckhayes
406,Evans,Tyreke,SF,SAC,2012,4223616,tyrekeevans
407,Cousins,DeMarcus,C,SAC,2012,3950033,demarcuscousins
408,Outlaw,Travis,SF,SAC,2012,3000000,travisoutlaw
409,Fredette,Jimmer,PG,SAC,2012,2339080,jimmerfredette
410,Aldrich,Cole,C,SAC,2012,2286000,colealdrich
411,Patterson,Patrick,PF,SAC,2012,2246325,patrickpatterson
412,Johnson,James,PF,SAC,2012,1988202,jamesjohnson
413,Douglas,Toney,SG,SAC,2012,1320190,toneydouglas
414,Thomas,Isaiah,PG,SAC,2012,706697,isaiahthomas
415,Ginobili,Manu,SG,SAS,2012,12981038,manuginobili
416,Parker,Tony,PG,SAS,2012,12500000,tonyparker
417,Duncan,Tim,PF,SAS,2012,10120482,timduncan
418,Jackson,Stephen,SF,SAS,2012,10059750,stephenjackson
419,Diaw,Boris,C,SAS,2012,4601250,borisdiaw
420,Green,Danny,SG,SAS,2012,3762500,dannygreen
421,Splitter,Tiago,PF,SAS,2012,3672000,tiagosplitter
422,Bonner,Matt,C,SAS,2012,3472500,mattbonner
423,Leonard,Kawhi,SF,SAS,2012,2080925,kawhileonard
424,DeColo,Nando,PG,SAS,2012,1431500,nandodecolo
425,Joseph,Cory,PG,SAS,2012,1290400,coryjoseph
426,Mills,Patrick,PG,SAS,2012,1109535,patrickmills
427,Blair,DeJaun,C,SAS,2012,853897,dejaunblair
428,Neal,Gary,PG,SAS,2012,696729,garyneal
429,Baynes,Aron,PF,SAS,2012,514230,aronbaynes
430,McGrady,Tracy,SG,SAS,2012,15908,tracymcgrady
431,Gay,Rudy,SF,TOR,2012,16460538,rudygay
432,Bargnani,Andrea,C,TOR,2012,10000000,andreabargnani
433,Fields,Landry,SF,TOR,2012,6250000,landryfields
434,Johnson,Amir,PF,TOR,2012,6000000,amirjohnson
435,Lowry,Kyle,PG,TOR,2012,5865000,kylelowry
436,Kleiza,Linas,SF,TOR,2012,4700000,linaskleiza
437,Valanciunas,Jonas,C,TOR,2012,3809981,jonasvalanciunas
