"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","X","ORtg","DRtg","fix"
"164",178,"Maurice Harkless\harklma01","SF",22,"POR",78,14,1457,6.7,14.1,0.474,1.3,4.8,0.279,5.4,9.3,0.576,2.4,3.8,0.622,3.5,6.1,9.6,2.3,1.7,1.2,2.1,4.3,17.1,NA,110,108,"mauriceharkless"
"165",179,"Justin Harper\harpeju01","PF",26,"DET",5,0,35,5.8,14.4,0.4,5.8,13,0.444,0,1.4,0,1.4,2.9,0.5,0,1.4,1.4,0,1.4,0,2.9,4.3,18.7,NA,100,110,"justinharper"
"166",180,"Montrezl Harrell\harremo01","PF",22,"HOU",39,1,379,7.5,11.7,0.644,0,0.1,0,7.5,11.5,0.652,3.1,6,0.522,3.2,5.2,8.4,2.2,1.4,1.4,2.2,6.2,18.2,NA,119,110,"montrezlharrell"
"167",181,"Devin Harris\harride01","PG",32,"DAL",64,0,1280,6.6,14.9,0.447,2.1,6.3,0.329,4.6,8.6,0.532,4,5.6,0.721,0.7,4.8,5.5,4.7,2.4,0.5,2.6,4.9,19.4,NA,107,107,"devinharris"
"168",182,"Gary Harris\harriga01","SG",21,"DEN",76,76,2439,7.4,15.7,0.469,2.2,6.1,0.354,5.2,9.6,0.543,2.2,2.7,0.82,1.1,3.4,4.5,3,2,0.4,2,2.9,19.2,NA,110,111,"garyharris"
"169",183,"Joe Harris\harrijo01","SG",24,"CLE",5,0,15,3.4,13.7,0.25,3.4,13.7,0.25,0,0,NA,0,0,NA,0,10.3,10.3,6.9,0,0,3.4,3.4,10.3,NA,81,107,"joeharris"
"170",185,"Aaron Harrison\harriaa01","SG",21,"CHO",21,0,93,2.7,10.3,0.263,1.6,5.4,0.3,1.1,4.9,0.222,2.7,6.5,0.417,2.2,5.9,8.1,1.1,3.2,0,2.2,5.4,9.7,NA,77,103,"aaronharrison"
"171",186,"Udonis Haslem\hasleud01","PF",35,"MIA",37,0,260,4.5,12,0.377,0.2,1.8,0.111,4.3,10.3,0.423,2.4,3.2,0.75,2,12.8,14.8,2.8,1,0.4,1,4.9,11.6,NA,99,103,"udonishaslem"
"172",187,"Spencer Hawes\hawessp01","PF",27,"CHO",57,6,1035,6,14.8,0.405,1.8,4.9,0.373,4.2,9.9,0.422,2.6,3.2,0.831,2.5,9.4,11.8,5.3,1.1,1.3,2.8,5.4,16.5,NA,103,104,"spencerhawes"
"173",188,"Chuck Hayes\hayesch01","C",32,"HOU",2,0,24,2,4.1,0.5,0,0,NA,2,4.1,0.5,4.1,4.1,1,0,16.4,16.4,4.1,0,0,6.1,12.3,8.2,NA,79,107,"chuckhayes"
"174",189,"Gordon Hayward\haywago01","SF",25,"UTA",80,80,2893,9.5,21.9,0.433,2.6,7.5,0.349,6.9,14.4,0.477,7.2,8.7,0.824,1.1,6.1,7.2,5.4,1.7,0.5,3.7,3.3,28.8,NA,110,105,"gordonhayward"
"175",190,"Gerald Henderson\hendege02","SG",28,"POR",72,0,1431,8.1,18.5,0.439,1.7,4.8,0.353,6.4,13.7,0.468,3.9,5.1,0.767,1,6.3,7.4,2.6,1.4,0.7,2.4,3,21.8,NA,104,109,"geraldhenderson"
"176",191,"John Henson\hensojo01","C",25,"MIL",57,1,960,8.7,15.4,0.564,0,0.1,0,8.7,15.4,0.566,3.7,6.2,0.59,4.6,7.1,11.7,2.9,1,5.8,3.4,7,21.1,NA,108,105,"johnhenson"
"177",192,"Mario Hezonja\hezonma01","SF",20,"ORL",79,9,1413,6.4,14.8,0.433,2.4,6.8,0.349,4,8,0.504,1.7,1.9,0.907,1,5.2,6.2,3.9,1.4,0.6,3.4,4.4,16.9,NA,97,109,"mariohezonja"
"178",193,"Roy Hibbert\hibbero01","C",29,"LAL",81,81,1878,4.9,11,0.443,0,0.1,0,4.9,10.9,0.445,3.1,3.9,0.807,3.5,7.1,10.6,2.5,0.9,2.9,2,6.7,12.9,NA,105,110,"royhibbert"
"179",195,"Nene Hilario\hilarne01","PF",33,"WAS",57,11,1094,9.3,17.1,0.544,0,0.1,0,9.3,17,0.549,4.8,8.2,0.578,2.3,9.2,11.5,4.3,2.4,1.2,3.4,7,23.4,NA,106,103,"nenehilario"
"180",196,"George Hill\hillge01","PG",29,"IND",74,73,2524,6.4,14.5,0.441,2.5,6.2,0.408,3.9,8.4,0.466,2.2,3,0.76,1.1,4.7,5.9,5.1,1.6,0.3,2,2.9,17.6,NA,112,106,"georgehill"
"181",197,"Jordan Hill\hilljo01","C",28,"IND",73,11,1513,9.1,18,0.506,0,0,0,9.1,18,0.507,2.9,4.1,0.712,5.1,9.7,14.8,2.9,1.2,1.2,3,5.1,21.2,NA,106,102,"jordanhill"
"182",198,"Solomon Hill\hillso01","SF",24,"IND",59,3,866,5.3,11.9,0.447,1.4,4.2,0.324,4,7.7,0.515,2.1,2.4,0.857,2.2,7.3,9.5,3.3,2.1,0.6,1.9,3.9,14.1,NA,110,103,"solomonhill"
"183",199,"Darrun Hilliard\hillida01","SG",22,"DET",38,2,383,6.9,17.3,0.397,2.5,6.6,0.38,4.3,10.7,0.407,3.8,5.3,0.725,0.7,5.3,5.9,3.6,1.2,0.1,2.5,3.7,20,NA,103,108,"darrunhilliard"
"184",201,"Jrue Holiday\holidjr01","PG",25,"NOP",65,23,1831,11.1,25.3,0.439,2.4,7,0.336,8.7,18.3,0.478,4.9,5.9,0.843,0.7,4.6,5.3,10.6,2.4,0.6,4.5,4,29.5,NA,105,109,"jrueholiday"
"185",204,"Rondae Hollis-Jefferson\holliro01","SF",21,"BRK",29,17,615,5.2,11.3,0.457,0.3,1.1,0.286,4.8,10.2,0.476,3,4.3,0.712,3.2,9.4,12.6,3.5,3.2,1.3,2.1,5,13.7,NA,107,105,"rondaehollisjefferson"
"186",205,"Richaun Holmes\holmeri01","PF",22,"PHI",51,1,702,8,15.5,0.514,0.6,3.1,0.182,7.4,12.4,0.596,3.6,5.2,0.689,4.3,5.1,9.4,2.3,1.3,2.8,2.2,6.4,20,NA,111,109,"richaunholmes"
"187",206,"Rodney Hood\hoodro01","SG",23,"UTA",79,79,2541,8.5,20.2,0.42,3.3,9.3,0.359,5.1,10.9,0.472,3.6,4.2,0.86,0.8,4.8,5.5,4.4,1.5,0.3,2.6,4.2,23.9,NA,109,107,"rodneyhood"
"188",207,"Al Horford\horfoal01","C",29,"ATL",82,82,2631,9.9,19.7,0.505,1.7,4.8,0.344,8.3,14.9,0.557,1.9,2.4,0.798,2.8,8.4,11.2,4.9,1.3,2.3,2,3.1,23.5,NA,113,101,"alhorford"
"189",208,"Dwight Howard\howardw01","C",30,"HOU",71,71,2280,8,12.9,0.62,0,0.1,0,8,12.8,0.626,5,10.2,0.489,5.1,12.9,18,2.1,1.5,2.4,3.6,4.7,21,NA,111,104,"dwighthoward"
"190",209,"Marcelo Huertas\huertma01","PG",32,"LAL",53,0,869,5.6,13.3,0.422,0.9,3.5,0.262,4.7,9.8,0.479,1.6,1.7,0.931,1,4.2,5.2,10.5,1.5,0.4,4.6,4.4,13.7,NA,95,114,"marcelohuertas"
"191",210,"Josh Huestis\huestjo01","PF",24,"OKC",5,0,55,4.5,10.8,0.417,3.6,5.4,0.667,0.9,5.4,0.167,0,3.6,0,1.8,7.2,9,0,0.9,1.8,2.7,2.7,12.6,NA,87,107,"joshhuestis"
"192",212,"R.J. Hunter\hunterj01","SG",22,"BOS",36,0,315,5.6,15.2,0.367,2.9,9.7,0.302,2.6,5.4,0.486,0.9,1.1,0.857,0.3,5.4,5.7,2,2.2,0.6,1.7,4.5,15,NA,94,104,"rjhunter"
"193",213,"Serge Ibaka\ibakase01","PF",26,"OKC",78,78,2500,8.3,17.3,0.479,1.2,3.7,0.326,7.1,13.6,0.52,1.8,2.4,0.752,2.8,7.8,10.6,1.3,0.8,2.9,2.1,4.2,19.5,NA,108,105,"sergeibaka"
"194",214,"Andre Iguodala\iguodan01","SF",32,"GSW",65,1,1732,4.9,10.3,0.478,1.5,4.3,0.351,3.4,6,0.57,1.4,2.3,0.614,1.5,5.9,7.3,6.1,2,0.5,2.2,2.8,12.7,NA,115,105,"andreiguodala"
"195",216,"Joe Ingles\inglejo01","SF",28,"UTA",81,2,1241,5.3,12.4,0.426,3.4,8.9,0.386,1.8,3.4,0.531,0.6,0.8,0.722,0.8,5.6,6.4,4.1,2.3,0.2,2.8,4.2,14.5,NA,105,105,"joeingles"
"196",217,"Damien Inglis\inglida01","SF",20,"MIL",20,1,156,4.2,12.1,0.351,1,4.2,0.231,3.3,7.8,0.417,2.3,2.6,0.875,0.7,9.5,10.1,3.3,2,1,3.6,3.6,11.8,NA,81,107,"damieninglis"
"197",218,"Kyrie Irving\irvinky01","PG",23,"CLE",53,53,1667,12.2,27.1,0.448,2.6,8.1,0.321,9.6,19,0.502,5.2,5.9,0.885,1.4,3.5,4.8,7.7,1.7,0.6,3.8,3.3,32.1,NA,109,106,"kyrieirving"
"198",219,"Jarrett Jack\jackja01","PG",32,"BRK",32,32,1027,6.9,17.6,0.391,1.5,5,0.304,5.3,12.6,0.426,4.9,5.5,0.893,0.4,6.2,6.7,11.6,1.7,0.3,4.6,3.8,20.2,NA,101,112,"jarrettjack"
