Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
308,Paul Millsap\millspa01,PF,28,ATL,74,73,2482,7.0,15.2,.461,1.1,3.1,.358,5.9,12.1,.487,4.1,5.7,.731,2.2,6.9,9.1,3.4,1.9,1.1,2.7,3.0,19.3
309,Tony Mitchell\mitchto02,PF,21,DET,21,0,79,2.3,5.5,.417,0.5,0.5,1.000,1.8,5.0,.364,5.0,8.7,.579,6.8,5.0,11.8,0.9,2.7,1.4,1.8,4.1,10.0
310,Tony Mitchell\mitchto03,SF,24,MIL,3,0,10,10.8,18.0,.600,0.0,3.6,.000,10.8,14.4,.750,0.0,0.0,,3.6,0.0,3.6,3.6,3.6,0.0,0.0,0.0,21.6
311,Nazr Mohammed\mohamna01,C,36,CHI,80,1,562,3.5,8.1,.429,0.0,0.0,,3.5,8.1,.429,1.0,1.9,.533,4.2,7.0,11.2,1.3,0.9,1.9,2.4,4.9,7.9
312,Greg Monroe\monrogr01,PF,23,DET,82,82,2690,6.7,13.6,.497,0.0,0.0,.000,6.7,13.6,.497,3.2,4.9,.657,3.4,6.7,10.2,2.3,1.2,0.6,2.2,2.7,16.7
313,E'Twaun Moore\mooreet01,SG,24,ORL,79,3,1506,4.7,10.9,.428,1.4,3.8,.354,3.3,7.1,.468,1.2,1.6,.765,0.7,2.6,3.3,2.7,1.4,0.3,1.3,2.5,11.9
314,Darius Morris\morrida01,PG,23,TOT,27,0,313,4.5,11.0,.406,1.4,4.4,.316,3.1,6.7,.466,2.0,3.0,.654,0.8,2.2,3.0,5.1,1.5,0.0,3.1,3.8,12.3
314,Darius Morris\morrida01,PG,23,PHI,12,0,193,5.4,12.5,.433,1.9,4.5,.417,3.5,8.0,.442,2.8,3.9,.714,0.6,1.9,2.4,5.8,1.5,0.0,3.5,3.9,15.5
314,Darius Morris\morrida01,PG,23,LAC,10,0,54,2.7,8.7,.308,0.0,4.7,.000,2.7,4.0,.667,0.7,1.3,.500,0.0,3.3,3.3,3.3,1.3,0.0,1.3,6.0,6.0
314,Darius Morris\morrida01,PG,23,MEM,5,0,66,3.3,8.7,.375,1.1,3.8,.286,2.2,4.9,.444,0.5,1.6,.333,2.2,2.2,4.4,4.4,1.6,0.0,3.3,1.6,8.2
315,Marcus Morris\morrima03,SF,24,PHO,82,1,1800,5.8,13.0,.442,2.0,5.2,.381,3.8,7.8,.483,2.4,3.2,.761,1.7,4.7,6.4,1.8,1.4,0.4,1.9,3.1,15.9
316,Markieff Morris\morrima02,PF,24,PHO,81,0,2153,6.9,14.1,.486,0.6,1.8,.315,6.3,12.3,.512,4.3,5.5,.792,2.3,5.8,8.1,2.4,1.1,0.9,2.5,3.9,18.6
317,Anthony Morrow\morroan01,SG,28,NOP,76,9,1426,6.0,13.1,.458,2.2,4.9,.451,3.8,8.2,.462,1.8,2.2,.828,0.7,2.8,3.5,1.5,1.0,0.3,1.3,2.6,16.1
318,Donatas Motiejunas\motiedo01,PF,23,HOU,62,3,952,5.0,11.2,.443,0.8,3.2,.250,4.2,8.0,.519,2.2,3.6,.604,2.3,6.2,8.5,1.3,0.8,0.8,1.9,5.0,12.9
319,Arnett Moultrie\moultar01,PF,23,PHI,12,2,187,3.1,7.3,.421,0.0,0.0,,3.1,7.3,.421,0.8,1.0,.800,2.1,4.6,6.7,0.4,1.5,0.8,1.3,4.2,6.9
