Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
429,Marcus Thornton\thornma01,SG,29,WAS,33,1,575,7.2,18.0,.400,2.4,6.9,.350,4.8,11.1,.431,2.0,2.3,.852,1.9,4.6,6.5,3.5,1.6,0.3,2.1,4.1,18.8,,102,112
430,Mike Tobey\tobeymi01,C,22,CHO,2,0,25,2.0,8.0,.250,0.0,0.0,,2.0,8.0,.250,0.0,0.0,,4.0,2.0,6.0,2.0,0.0,0.0,2.0,4.0,4.0,,73,116
431,Anthony Tolliver\tollian01,PF,31,SAC,65,9,1477,5.3,12.0,.442,3.1,7.9,.391,2.2,4.1,.537,2.1,2.8,.744,1.7,6.4,8.1,2.6,1.2,0.7,1.9,3.7,15.8,,113,113
432,Axel Toupane\toupaax01,SF,24,TOT,4,0,47,5.2,9.4,.556,1.0,4.2,.250,4.2,5.2,.800,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,6.3,11.5,,117,113
432,Axel Toupane\toupaax01,SF,24,MIL,2,0,6,0.0,8.5,.000,0.0,8.5,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,,0,118
432,Axel Toupane\toupaax01,SF,24,NOP,2,0,41,6.0,9.6,.625,1.2,3.6,.333,4.8,6.0,.800,0.0,0.0,,0.0,1.2,1.2,0.0,1.2,1.2,0.0,6.0,13.1,,132,112
433,Karl-Anthony Towns\townska01,C,21,MIN,82,82,3030,13.4,24.8,.542,1.7,4.6,.367,11.7,20.2,.582,6.0,7.2,.832,5.0,11.9,16.9,3.7,0.9,1.7,3.5,4.0,34.5,,121,110
434,P.J. Tucker\tuckepj01,SF,31,TOT,81,21,2236,4.3,10.5,.413,1.5,4.3,.357,2.8,6.2,.451,1.6,2.0,.774,2.5,7.7,10.2,2.2,2.5,0.4,1.4,4.3,11.7,,109,109
434,P.J. Tucker\tuckepj01,SF,31,PHO,57,17,1627,4.3,10.4,.415,1.4,4.0,.338,3.0,6.4,.463,1.8,2.3,.792,2.8,7.3,10.1,2.1,2.5,0.4,1.5,4.2,11.8,,109,111
434,P.J. Tucker\tuckepj01,SF,31,TOR,24,4,609,4.3,10.7,.406,2.0,5.0,.400,2.3,5.7,.412,0.9,1.3,.688,1.9,8.8,10.7,2.2,2.6,0.4,1.2,4.4,11.6,,110,106
435,Evan Turner\turneev01,SF,28,POR,65,12,1658,7.0,16.5,.426,0.9,3.5,.263,6.1,13.0,.470,2.5,3.1,.825,1.1,6.3,7.4,6.1,1.6,0.7,3.0,3.6,17.5,,100,111
436,Myles Turner\turnemy01,C,20,IND,81,81,2541,8.7,17.1,.511,0.8,2.3,.348,8.0,14.9,.536,4.8,6.0,.809,2.7,8.9,11.6,2.1,1.5,3.4,2.1,5.2,23.1,,115,105
437,Beno Udrih\udrihbe01,PG,34,DET,39,0,560,8.3,17.8,.467,1.0,2.9,.344,7.3,14.9,.491,2.9,3.1,.941,0.5,4.6,5.1,11.8,1.2,0.0,3.2,2.6,20.5,,112,110
438,Tyler Ulis\ulisty01,PG,21,PHO,61,15,1123,7.8,18.6,.421,0.9,3.4,.266,6.9,15.3,.455,2.3,3.0,.775,0.9,3.2,4.0,9.6,2.0,0.2,3.3,3.1,18.9,,102,114
439,Jarrod Uthoff\uthofja01,PF,23,DAL,9,0,115,7.2,17.2,.421,1.4,4.1,.333,5.9,13.1,.448,2.3,3.2,.714,3.6,6.3,10.0,4.1,0.9,1.8,1.4,3.6,18.1,,107,109
440,Jonas Valanciunas\valanjo01,C,24,TOR,80,80,2066,9.6,17.2,.557,0.0,0.0,.500,9.6,17.2,.557,4.3,5.3,.811,5.5,13.1,18.6,1.4,0.9,1.5,2.6,5.3,23.5,,120,105
441,Denzel Valentine\valende01,SG,23,CHI,57,0,976,5.3,14.9,.354,3.8,10.7,.351,1.5,4.1,.363,0.7,0.9,.778,0.6,7.2,7.8,3.3,1.5,0.4,2.5,4.4,15.0,,95,108
442,Fred VanVleet\vanvlfr01,PG,22,TOR,37,0,294,6.7,19.1,.351,1.9,5.0,.379,4.8,14.1,.341,3.1,3.8,.818,0.7,6.6,7.2,6.0,2.8,0.5,2.6,6.2,18.4,,96,106
443,Anderson Varejao\varejan01,C,34,GSW,14,1,92,2.6,7.3,.357,0.0,0.0,,2.6,7.3,.357,4.2,5.8,.727,6.3,7.8,14.1,5.2,1.6,1.6,4.2,8.4,9.4,,104,104
444,Greivis Vasquez\vasqugr01,PG,30,BRK,3,0,39,2.4,9.7,.250,1.2,3.6,.333,1.2,6.1,.200,2.4,3.6,.667,0.0,2.4,2.4,6.1,1.2,1.2,1.2,7.3,8.5,,91,113
445,Rashad Vaughn\vaughra01,SG,20,MIL,41,2,458,6.3,17.3,.365,2.9,9.0,.321,3.4,8.3,.413,0.2,0.6,.400,0.4,5.0,5.4,2.6,2.1,1.1,1.6,3.5,15.7,,89,110
446,Noah Vonleh\vonleno01,PF,21,POR,74,41,1265,5.1,10.6,.481,0.3,0.8,.350,4.8,9.8,.492,2.4,3.7,.638,5.1,10.0,15.2,1.2,1.2,1.1,2.5,6.0,12.8,,106,110
447,Nikola Vucevic\vucevni01,C,26,ORL,75,55,2163,11.1,23.6,.468,0.5,1.7,.307,10.5,21.9,.481,2.5,3.7,.669,4.0,13.8,17.9,4.8,1.7,1.7,2.7,4.1,25.1,,103,105
448,Sasha Vujacic\vujacsa01,SG,32,NYK,42,4,408,5.1,16.7,.309,2.8,9.1,.311,2.3,7.6,.306,2.1,2.9,.708,1.5,5.8,7.2,6.4,1.6,0.2,2.0,4.7,15.2,,98,113
449,Dwyane Wade\wadedw01,SG,35,CHI,60,59,1792,11.6,26.8,.434,1.3,4.1,.310,10.4,22.8,.456,6.3,7.9,.794,1.8,5.8,7.6,6.4,2.4,1.2,3.9,3.1,30.8,,103,106
450,Dion Waiters\waitedi01,SG,25,MIA,46,43,1384,10.2,24.1,.424,3.1,7.8,.395,7.1,16.3,.438,3.0,4.6,.646,0.7,4.9,5.6,7.3,1.5,0.7,3.8,3.5,26.6,,101,109
451,Kemba Walker\walkeke02,PG,26,CHO,79,79,2739,11.8,26.5,.444,4.4,11.0,.399,7.4,15.5,.476,5.6,6.6,.847,0.8,4.8,5.6,7.9,1.6,0.4,3.1,2.2,33.5,,113,111
452,John Wall\walljo01,PG,26,WAS,78,78,2836,11.2,24.9,.451,1.5,4.7,.327,9.7,20.2,.480,7.3,9.2,.801,1.0,4.6,5.7,14.4,2.7,0.9,5.6,2.6,31.4,,111,108
